state,start,ending
alabama,2020/4/4,2020/4/30
alaska,2020/3/11,2020/4/21
arizona,2020/3/31,2020/5/15
arkansas,null,null
california,2020/3/19,2021/1/25
colorado,2020/3/26,2020/5/8
connecticut,2020/3/23,2020/5/20
delaware,2020/3/24,2020/5/15
florida,2020/3/20,2020/4/30
georgia,2020/4/3,2020/4/30
hawaii,2020/3/25,2020/5/31
idaho,2020/3/25,2020/4/30
illinois,2020/3/21,2020/5/30
indiana,2020/3/25,2020/5/1
iowa,null,null
kansas,2020/3/30,2020/5/3
kentucky,2020/3/26,2021/1/25
louisiana,2020/3/23,2020/5/14
maine,2020/4/2,2020/5/31
maryland,2020/3/30,2020/5/15
massachusetts,2020/4/24,2020/5/18
michigan,2020/3/24,2020/6/5
minnesota,2020/3/27,2020/5/4
mississippi,2020/4/3,2020/5/11
missouri,2020/4/6,2020/5/3
montana,2020/3/26,2020/4/24
nebraska,null,null
nevada,2020/3/31,2020/5/15
newhampshire,2020/3/27,2020/6/15
newjersey,2020/3/21,2021/1/25
newmexico,2020/3/24,2020/5/15
newyork,2020/3/22,2020/5/15
northcarolina,2020/3/30,2020/5/8
northdakota,null,null
ohio,2020/3/23,2020/5/30
oklahoma,null,null
oregon,2020/3/23,2021/1/25
pennsylvania,2020/4/1,2020/5/8
rhodeisland,2020/3/28,2020/5/8
southcarolina,2020/4/7,2020/5/12
southdakota,null,null
tennessee,2020/4/2,2020/4/30
texas,2020/4/2,2020/4/30
utah,null,null
vermont,2020/3/24,2020/5/15
virginia,2020/3/30,2020/6/10
washington,2020/3/23,2020/5/4
westvirginia,2020/3/24,2020/5/4
wisconsin,2020/3/25,2020/5/26
wyoming,null,null
