Sentence,Offensive,Split
!!! RT @USER As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,0,0
momma said no pussy cats inside my doghouse,0,0
@USER -SimplyAddictedToGuys URL woof woof hot scally lad,0,0
@USER URL woof woof and hot soles,0,0
@USER Lemmie eat a Oreo &amp; do these dishes. One oreo? Lol,0,0
@USER Why the eggplant emoji doe?y he say she looked like scream lmao,0,0
@USER baby monkey bathtime URL This is soooo ADORABLE!,0,0
@USER Baseball season for the win. #Yankees This is where the love started,0,0
"@USER I'm an early bird and I'm a night owl, so I'm wise and have worms.",0,0
@USER Overdosing on heavy drugs doesn't sound bad tonight. I do that pussy shit every day.,0,0
@USER Pit Bulls Photographed As Lovely Fairy Tale Creatures URL *are* fairy tale creatures.,0,0
"@USER As long as the Lakers trash from now on, I could careless. And that's real.. CC: @USER hahaha",0,0
"@USER this the I play soccer, cheat on girls, and wear khaki coloured cargos haircut URL &#128514; yup",0,0
@USER This isn't ghetto.....it's smart URL I'm doing this idc,0,0
@USER Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking URL hot sox and legs,0,0
@USER Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line ooooow who tf said that trash!!?,0,0
@USER #UCFPINKPARTY come on stay alive knights nation!!!! This is still the early bird special. #ComeAtMeUT,0,0
@USER Stay tuned to @USER for an update on the report that @USER 1B @USER will be out 8-10 weeks @USER #bum,0,0
"@USER &#8220;@USER I play soccer, cheat on girls, and wear khaki coloured cargos haircut URL yes lmfao@USER",0,0
@USER URL a pissed lad past out. I would lick his dirty soles while he slept.,0,0
@USER URL love frat boy w/ soft long soles,0,0
@USER URL sexy lad with hot soles and arches.,0,0
@USER @USER &#128079;&#128079;&#128079;&#128079;&#128588; I got hicks lol,0,0
"@USER 10 birds your grandkids may never see, thanks to climate change URL URL #Climate",0,0
@USER &#8220;@USER Fosters home for imaginary trash&#8221; WHOA CHILLthat show was everything tf,0,0
@USER 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now.,0,0
@USER @USER inna di ghetto!!! You alone lmaoo,0,0
@USER &#8220;@USER @USER @USER hoes Austin&#8221; teach us Austin.I teach u how to get curved? That's all I know,0,0
@USER Eli Manning just threw his NFL-leading 27th interception of the season. Lmao trash,0,0
@USER USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. &#187; URL he's a bitch,0,0
@USER Chilling &#128069;&#8482; URL sexy scally lad,0,0
@USER @USER @USER tuku ho idk blah blah blah &#128514;&#128514;&#128514;,0,0
@USER @USER @USER I'm not mad cuh hahaha suure.. tuku ho ita! &#128514;&#128514;,0,0
@USER URL this scally lad would get it,0,0
@USER 15 sad TV character deaths we're still bitter over... URL URL stark was the man,0,0
@USER A smuggler explains how he helped fighters along the Jihadi Highway: URL,0,0
"@USER Down 6-1, #Yankees look to rally in the bottom of the 9th. #RALLYCAP",0,0
@USER One mans trash &#128686; is another mans treasure &#127942;,0,0
@USER Ashley Young has tried to deny that bird s*** landed in his mouth ---&gt; URL URL hahaha,0,0
@USER @USER Take me for a ride &#128525;&#128139; URL woof woof,0,0
"@USER Sitting on my window sill, window open, bird tries to fly in. Smacked it. #ProtectTheAnimals @USER",0,0
@USER a video an entire media will likely mock. URL i am such a crybaby,0,0
@USER Jihadi patron Hajjaj al-Ajmi is arrested at Kuwait airport URL,0,0
@USER tweety bird tho &#128514;&#128514;&#128514;&#128514;URL,0,0
@USER When twitter rappers dm me their trash links URL,0,0
@USER Photo: URL he is in sole heaven,0,0
@USER We actin like it's the 7th day @USER URL,0,0
@USER colored contacts in your eyes?blinders on mine.cause i can't see you at all. Lmao,0,0
@USER @USER @USER @USER @USER swears I'm #1 man easily easily behind Austin nip?,0,0
@USER H.G.Wells and Charlie Chaplin URL #History #Photography,0,0
@USER I told Mariam to but cigarettes for her birthdayYou also called me trash rn,0,0
@USER @USER brownies tonight what kind?!?!,0,0
@USER Fit lads! Nice gear! URL these scally lads n trainers would get it,0,0
"@USER I saw an ajumma walk out in the beginning saying, 'Wow, this is so trash that I can't even listen to it..' &#128514; lmaoo",0,0
@USER Dude remember this wop video? @USER URL OMG WHERE DID YOU FIND THAT,0,0
@USER RAWR!! RT @USER My sexy French scally. I love him! #frenchscally URL sexy scally woof woof,0,0
@USER Baby albino &#128034; URL @USER,0,0
Bae sounds like such a ghetto word. Use something else,0,0
Brownies for my brownie I love this movie. &#128517;,0,0
"Chinese Maverick: We were communicating Comrade , u know giving the imperialist Yanks the Birdie URL",0,0
Generate ASCII boxes with NodeJS all I see is the ability to bring flappy-bird in node via ASCII tubes and bird ^_^ URL,0,0
How about we draft all those gung-ho folks and send them to Afghanistan or other war zones so they can show their... URL,0,0
I am a thrill billy..with a hillbilly heart. -@USER HAHAHAHAHA Jesus Murphy!,0,0
I found a new way to chug you have to open your mouth alot #shitallysays,0,0
I'll slit your throat-neck URL,0,0
"Is that an albino Mexican?No dad, he's Asian.",0,0
Just follow the yellow brick twitter.,0,0
"LOL, cripple! - Wendy Davis. RT @USER Scientists create remote-controlled chick to study shy penguins URL",0,0
"Mam, Ren&#233;e doet in haar rol net of ze ongesteld is Wat is ongesteld? Van dat soort vragen waar je denkt: hoe leg ik die weer uit.",0,0
Mine plays DMX and kirk Franklin smh @USER Well my neighbors are ghetto . They get up at like 5am and beat their kids.,0,0
OVO &#8220;@USER &amp; kendrick lamar still trash&#8221;,0,0
Only a couple of Red Sox have gotten past first base. I'm dying laughing. Maybe the Yanks need to teach them some game.,0,0
"The devil grows inside the hearts of the selfish and wickedWhite, brown, yellow and black color is not restricted",0,0
"The water isn't yellow, I'm a healthy student",0,0
They have to. That division is trash @USER Saints gon win the NFC South...watch,0,0
This recipe calls for a leftover brownie. What the hell is a LEFTOVER brownie? That's just a brownie you haven't eaten yet.-@USER,0,0
"Two roads diverged in a yellow wood, and I chose the one to J&#246;tunheimr- Robert Frost Giant",0,0
YAH has said in his word that the Mtzra'ym(egyptians) are his people and Ysrah'al is his inheritance and the Kushite(ethiopians).....,0,0
Yaoooooooo @USER Mawnin yardies! &#128154;&#128155;&#128536;,0,0
"You hit no lights, no line for toco bell at 2 in he morning, and Diana's back in her house. It's a miracle - Charlie @USER",0,0
You look like little birds help you get dressed in the morning,0,0
Your teeth are like the stars. Aww thanks! Yeah... yellow and far away from each other.,0,0
hick and raver is a venn diagram that has a very large intersection,0,0
when rappers say twat it makes me feel weird &#128514;&#128514;&#128514;&#128557;,0,0
#2013Faves RT &#8220;@USER #Snoop and #Justin are having so much fun at this Charlie Wilson tribute #BETAwards URL,0,0
#AskDems Aren't you embarrassed that Charlie Rangel remains in your caucus?,0,0
"#BREAKING: AP calls Mass. Governor race for Charlie Baker. Watch live coverage on WCVB, streaming online. URL",0,0
"#BigBird was made by a gay couple. So yes, under a GOP world the bird would not have existed since its creators would be in jail for sodomy.",0,0
"#BlessJesus Amos 3:3 - Can two walk together, except they be agreed?",0,0
#BlessJesus Amos 5:10 There are those who hate the one who upholds justice in court and detest the one who tells the truth.,0,0
#BlessJesus The #Crown of HIS head to the sole of HIS feet,0,0
#BlessJesusAir Matthew 6:26 Look at the birds of the air.. and yet your heavenly Father feeds them.Are you not much more valuable than they?,0,0
#BlessJesusLove Happy Belated ( Sixty-Fifth) 65 Birthday *28 Aunt Mary Agnes #Strong,0,0
#CommonQuestionIGetWhy uou so ghetto?,0,0
"#DegenerateArtist Sniffs whiffy balls involuntary, cuz a FAIRY walks DOWNTOWN HAIRY, #climatechange all our scary sense of hillbilly sneeze&gt;",0,0
"#DerekJeter as a lifelong #Yankees man, I will miss you. #FirstBallot#Unanimous",0,0
#EarlyBird #early #morning #sunrise #dawn #bird #thebird #jerryreed @ Kansas City URL,0,0
#Ebola Great and I thought the panic from bird flu was bad. I really ain't got time for that.,0,0
#Ebola is a great metaphor for how #GOP #teaparty policies eat off of vital organs until the host dies. #Tcot #teabaggers,0,0
#ExplainAnAnimePlotBadly Boy with a monkey tail grows up to the the savior of a futuristic yet old earth,0,0
"#FemaleLogic is worse than the jig, I'm convinced",0,0
#FireCashman Why?? Because I am having to root for the Royals in October. #Yankees,0,0
"#Glory Isaiah Mom asked me if I wanted a brownie I said, no thanks She said what are fasting,",0,0
#HOLIDAYSEASONLIVE @USER @USER Shy Glizzy Feat Plies - FREE THA GANG: URL,0,0
#HappyColumbusDay !!!! If is wasn't for #America.................#KarlMarx would never have thought of sharing #colonialism with #injuns !!!,0,0
