id,Anger,Offensive,Hate,lockdown_status,state
1238548381586395137,1,0,0,0,rhodeisland
1238314606843408385,0,0,0,0,rhodeisland
1236755765265907713,0,0,0,0,rhodeisland
1234985486952751104,0,0,0,0,rhodeisland
1234976077207859200,0,0,0,0,rhodeisland
1233965514638155779,0,0,0,0,rhodeisland
1231699698345545728,0,0,0,0,rhodeisland
1226004699687596034,0,0,0,0,rhodeisland
1224879852039430146,1,0,0,0,rhodeisland
1224878011218124802,0,0,0,0,rhodeisland
1224877744061849601,0,0,0,0,rhodeisland
1224857355013238784,0,0,0,0,rhodeisland
1224803181185638402,0,0,0,0,rhodeisland
1222309019362242560,0,0,0,0,rhodeisland
1221182205118025728,0,0,0,0,rhodeisland
1221180926815821825,0,1,0,0,rhodeisland
1218692073714606086,0,0,0,0,rhodeisland
1218683648582541312,0,0,0,0,rhodeisland
1216080996501807107,0,0,0,0,rhodeisland
1212183866565373953,0,0,0,0,rhodeisland
1212183042518896640,0,0,0,0,rhodeisland
1244777446978859015,0,0,0,1,rhodeisland
1243612616725012480,1,0,0,0,rhodeisland
1243612164704870403,0,0,0,0,rhodeisland
1241379191339331585,0,0,0,0,rhodeisland
1241349029369466885,0,0,0,0,rhodeisland
1240300102520111105,0,0,0,0,rhodeisland
1240298397212516354,0,0,0,0,rhodeisland
1240298036368150529,0,0,0,0,rhodeisland
1240081610323697665,0,0,0,0,rhodeisland
1240077655187304450,0,0,0,0,rhodeisland
1237852652513312773,0,0,0,0,rhodeisland
1237830324610088965,0,0,0,0,rhodeisland
1237829986670837761,0,0,0,0,rhodeisland
1237529263416340480,0,0,0,0,rhodeisland
1237362678244540416,0,0,0,0,rhodeisland
1236761634099605509,0,0,0,0,rhodeisland
1235769692356255747,0,0,0,0,rhodeisland
1233827457519771649,0,1,0,0,rhodeisland
1232763881145192448,0,0,0,0,rhodeisland
1232147053473607681,0,0,0,0,rhodeisland
1230498852807024640,0,0,0,0,rhodeisland
1229031957759250433,0,0,0,0,rhodeisland
1228081711487102985,0,0,0,0,rhodeisland
1228078597266604032,0,0,0,0,rhodeisland
1227340063324934146,0,0,0,0,rhodeisland
1227334923469672448,0,0,0,0,rhodeisland
1227202384826454016,1,0,0,0,rhodeisland
1244996036323491840,0,0,0,1,rhodeisland
1244854336682950656,0,0,0,1,rhodeisland
1244735929497124864,0,0,0,1,rhodeisland
1244633673212653574,0,0,0,1,rhodeisland
1244271267600982018,0,0,0,1,rhodeisland
1244242018596982784,1,1,1,1,rhodeisland
1244027526466490370,0,0,0,1,rhodeisland
1244013520682917888,0,0,0,1,rhodeisland
1244010536322334720,0,0,0,1,rhodeisland
1243951428651139072,1,0,0,1,rhodeisland
1243908895338184705,0,0,0,1,rhodeisland
1243645217519083527,0,0,0,0,rhodeisland
1243546669263785986,0,0,0,0,rhodeisland
1243305649909481473,1,1,1,0,rhodeisland
