id,Anger,Offensive,Hate,lockdown_status,state
1242929850777767938,1,1,1,0,southcarolina
1242929718795657216,1,1,0,0,southcarolina
1242852125199253504,0,0,0,0,southcarolina
1242845227272089601,0,0,0,0,southcarolina
1242841490067460101,0,0,0,0,southcarolina
1242462679265996800,1,0,0,0,southcarolina
1234253768188989446,1,0,0,0,southcarolina
1231723337027661825,0,0,0,0,southcarolina
1228811372819099652,0,0,0,0,southcarolina
1221519765157662720,0,0,0,0,southcarolina
1244335945505275904,0,0,0,0,southcarolina
1237031629433925633,0,0,0,0,southcarolina
1239730797571080195,0,0,0,0,southcarolina
1239240829182586881,0,0,0,0,southcarolina
1230266945561296897,0,0,0,0,southcarolina
1227118731756810242,0,0,0,0,southcarolina
1226872612267208710,0,0,0,0,southcarolina
1225814585531404294,0,0,0,0,southcarolina
1225597742166179840,0,0,0,0,southcarolina
1225572313497731073,0,0,0,0,southcarolina
1222644799083368448,0,0,0,0,southcarolina
1221522865775771649,0,0,0,0,southcarolina
1221268522275307522,0,0,0,0,southcarolina
1219098489877139456,0,0,0,0,southcarolina
1214323646983999489,0,0,0,0,southcarolina
1213475054010425344,1,0,0,0,southcarolina
1244795447098716161,0,0,0,0,southcarolina
1243912870053675009,0,0,0,0,southcarolina
1243912620773715968,0,0,0,0,southcarolina
1240155005367259142,0,0,0,0,southcarolina
1240121616769724416,0,0,0,0,southcarolina
1239798182365859840,0,0,0,0,southcarolina
1239797535490871297,0,0,0,0,southcarolina
1239787848389275649,1,1,0,0,southcarolina
1239784909788647425,0,1,0,0,southcarolina
1239783418881347585,0,1,0,0,southcarolina
1237960652494430211,0,0,0,0,southcarolina
1237959726677319680,0,0,0,0,southcarolina
1236123446280695815,0,0,0,0,southcarolina
1235684411430940672,1,1,1,0,southcarolina
1235055945778159616,0,0,0,0,southcarolina
1235054970770092034,1,1,1,0,southcarolina
1234006455059177472,1,1,1,0,southcarolina
1230882850913865730,0,0,0,0,southcarolina
1230715024936599553,1,0,0,0,southcarolina
1230344856972746752,0,0,0,0,southcarolina
1230003500190445569,0,0,1,0,southcarolina
1230003200180314112,0,0,0,0,southcarolina
1228009534427484164,0,0,0,0,southcarolina
1226750043929092096,1,1,0,0,southcarolina
1226392444260012033,1,0,0,0,southcarolina
1226391775054630912,1,1,0,0,southcarolina
1226391590597427200,0,0,0,0,southcarolina
1226391283964444673,0,0,0,0,southcarolina
1226390302870691841,1,0,1,0,southcarolina
1226389818994823169,0,1,0,0,southcarolina
1226389490236821504,1,1,1,0,southcarolina
1226009112594522113,0,1,0,0,southcarolina
1224555780541644801,0,0,0,0,southcarolina
1222019558317404162,0,0,1,0,southcarolina
1220537445193863168,1,1,1,0,southcarolina
1219473069246418945,1,0,0,0,southcarolina
1219472794502778881,0,0,0,0,southcarolina
1219472257136898048,1,0,0,0,southcarolina
1219471320397897736,1,0,0,0,southcarolina
1219470769308282881,0,0,0,0,southcarolina
1219470247817809925,0,0,0,0,southcarolina
1218739538782232577,1,1,0,0,southcarolina
1218423021209300992,1,1,0,0,southcarolina
1218422024776843264,1,0,1,0,southcarolina
1218420154813599746,1,1,0,0,southcarolina
1218419546673106945,0,0,0,0,southcarolina
1216614251298729984,0,0,0,0,southcarolina
1215818619927638016,0,0,0,0,southcarolina
1215813695055503361,1,1,1,0,southcarolina
1214451734086594561,0,0,0,0,southcarolina
1214450554434392064,0,0,0,0,southcarolina
1214448990172913664,1,0,0,0,southcarolina
1214446136347516929,1,1,1,0,southcarolina
1214445878670442496,1,0,0,0,southcarolina
1214445630690447360,1,0,0,0,southcarolina
1214445155115290625,1,1,1,0,southcarolina
1214444279784980480,1,1,1,0,southcarolina
1214444096254881792,1,0,0,0,southcarolina
1214443599175143424,1,0,0,0,southcarolina
1214443429704458241,1,1,1,0,southcarolina
1214069990783160320,1,0,0,0,southcarolina
1213721699830681601,0,0,0,0,southcarolina
1213340906335744000,0,0,0,0,southcarolina
1212979830347771904,1,1,1,0,southcarolina
1212979460745711616,1,1,1,0,southcarolina
1212229190210195457,0,0,0,0,southcarolina
1212228704191090688,0,0,0,0,southcarolina
1244679571657670658,0,0,0,0,southcarolina
1244667901686222852,0,0,0,0,southcarolina
1244629268853919745,0,0,0,0,southcarolina
1244567474848268288,0,0,0,0,southcarolina
1244069512590352391,0,0,0,0,southcarolina
1243275383132295175,0,0,0,0,southcarolina
1243128686158794755,0,0,0,0,southcarolina
1242980033167331329,0,0,0,0,southcarolina
1242959062314233857,1,0,0,0,southcarolina
1242912836856287233,0,0,0,0,southcarolina
1242912441962500097,1,0,0,0,southcarolina
1242881500032483328,0,0,0,0,southcarolina
1242801392991047680,0,0,0,0,southcarolina
1242766467994714112,0,0,0,0,southcarolina
1242571384812900352,0,0,0,0,southcarolina
1242556718724403205,0,0,0,0,southcarolina
1242453741187588097,0,0,0,0,southcarolina
1242437037648642048,0,0,0,0,southcarolina
1242434833600712707,0,0,0,0,southcarolina
1242429745175953410,0,0,0,0,southcarolina
1242421195972149249,0,1,0,0,southcarolina
1242091315845890048,0,0,0,0,southcarolina
1242036546947223560,1,0,0,0,southcarolina
1241785831490191362,0,0,0,0,southcarolina
1241771489944391681,0,0,0,0,southcarolina
1241694724278362113,0,0,0,0,southcarolina
1241485766745829377,0,0,0,0,southcarolina
